PC Pair,k,Silhouette
PC2-PC3,9,0.40819752227830475
PC2-PC3,10,0.41038960424531806
PC2-PC4,3,0.3857527909282123
PC2-PC4,4,0.4103222305983543
PC2-PC4,5,0.43052406805644095
PC2-PC4,6,0.4366691170699508
PC2-PC4,7,0.4339357769750886
PC2-PC4,8,0.43705005204877173
PC2-PC4,9,0.43849473151811996
PC2-PC4,10,0.4442205979589314
PC2-PC5,3,0.35387559596073326
PC2-PC5,4,0.38559984938080055
PC2-PC5,5,0.40062001075371495
PC2-PC5,6,0.41653311908044394
PC2-PC5,7,0.42684649132200986
PC2-PC5,8,0.43711695530179245
PC2-PC5,9,0.45030710787225664
PC2-PC5,10,0.47158941796430603
PC2-PC6,3,0.4070331405158547
PC2-PC6,4,0.4293854878890927
PC2-PC6,5,0.4563109027024584
PC2-PC6,6,0.4386850973821381
PC2-PC6,7,0.4466779375709435
PC2-PC6,8,0.45240276672202234
PC2-PC6,9,0.4296769024818693
PC2-PC6,10,0.4385764660003053
PC2-PC7,3,0.38334120286543427
PC2-PC7,4,0.3956631881404683
PC2-PC7,5,0.44257114191148983
PC2-PC7,6,0.4458473682631764
PC2-PC7,7,0.3993889844721264
PC2-PC7,8,0.44807523038759933
PC2-PC7,9,0.45771920718379283
PC2-PC7,10,0.4246165766536948
PC2-PC8,3,0.35068625935769626
PC2-PC8,4,0.3598728392844702
PC2-PC8,5,0.3483176681667412
PC2-PC8,6,0.3644384597836683
PC2-PC8,7,0.3571416103222022
PC2-PC8,8,0.37073407810508024
PC2-PC8,9,0.37470898840843686
PC2-PC8,10,0.3807567193533246
PC2-PC9,3,0.4219546798358768
PC2-PC9,4,0.40796466398890124
PC2-PC9,5,0.3896398261391906
PC2-PC9,6,0.3864081849893529
PC2-PC9,7,0.39943488246512127
PC2-PC9,8,0.39921131362160545
PC2-PC9,9,0.39000910898424224
PC2-PC9,10,0.3855015293918282
PC2-PC10,3,0.4404087858607579
PC2-PC10,4,0.41571576035817326
PC2-PC10,5,0.3682285726605845
PC2-PC10,6,0.35882668504929904
PC2-PC10,7,0.38992547069607686
PC2-PC10,8,0.4036025697341961
PC2-PC10,9,0.40266593691768243
PC2-PC10,10,0.4214428250409544
PC3-PC4,3,0.39770799479275276
PC3-PC4,4,0.4271031904853287
PC3-PC4,5,0.45344079912740587
PC3-PC4,6,0.44659808214854013
PC3-PC4,7,0.4406862737069206
PC3-PC4,8,0.4553791515218441
PC3-PC4,9,0.4513523502732673
PC3-PC4,10,0.45541587214428936
PC3-PC5,3,0.4029470511022246
PC3-PC5,4,0.3748463612051451
PC3-PC5,5,0.4170051610909101
PC3-PC5,6,0.4371657334753448
PC3-PC5,7,0.42315026979134224
PC3-PC5,8,0.4630352748872443
PC3-PC5,9,0.4684320631659521
PC3-PC5,10,0.40349885918596695
PC3-PC6,3,0.43650789379700217
PC3-PC6,4,0.4852500479071847
PC3-PC6,5,0.4856907419284206
PC3-PC6,6,0.45175469103690963
PC3-PC6,7,0.42870184998582817
PC3-PC6,8,0.43521527456357356
PC3-PC6,9,0.44570527379883573
PC3-PC6,10,0.4392949869605331
PC3-PC7,3,0.3755617416705307
PC3-PC7,4,0.43064785642564113
PC3-PC7,5,0.34294040419117655
PC3-PC7,6,0.37833868190853903
PC3-PC7,7,0.3678174402234045
PC3-PC7,8,0.4115841381578799
PC3-PC7,9,0.41974469358575317
PC3-PC7,10,0.4305007168400208
PC3-PC8,3,0.3443047616640914
PC3-PC8,4,0.3711645421350577
PC3-PC8,5,0.3847147453060576
