PC Pair,k,DBI
PC2-PC9,8,0.8167094862407224
PC2-PC9,9,0.7948379266608774
PC2-PC9,10,0.8268148945155156
PC2-PC10,3,0.8041205823739678
PC2-PC10,4,0.8045901502770023
PC2-PC10,5,0.8596414963426419
PC2-PC10,6,0.8887364922335322
PC2-PC10,7,0.8709936282209875
PC2-PC10,8,0.8562441144520803
PC2-PC10,9,0.8615053233692033
PC2-PC10,10,0.7493781212025168
PC3-PC4,3,0.969543198438641
PC3-PC4,4,0.8275067319119449
PC3-PC4,5,0.717700655095654
PC3-PC4,6,0.7722678997531353
PC3-PC4,7,0.8027624861591638
PC3-PC4,8,0.8014205903831728
PC3-PC4,9,0.8243255496675966
PC3-PC4,10,0.82417133831256
PC3-PC5,3,0.8876740991327331
PC3-PC5,4,0.8541188480103391
PC3-PC5,5,0.8563020821202594
PC3-PC5,6,0.7584537484474082
PC3-PC5,7,0.8121728523051913
PC3-PC5,8,0.7828785951984313
PC3-PC5,9,0.8221942122462544
PC3-PC5,10,0.8778820980222231
PC3-PC6,3,0.852972335509326
PC3-PC6,4,0.6880220472963647
PC3-PC6,5,0.8129744702161483
PC3-PC6,6,0.8589416954915562
PC3-PC6,7,0.7809649788943958
PC3-PC6,8,0.7969081279987884
PC3-PC6,9,0.7953219081620793
PC3-PC6,10,0.8464520126773192
PC3-PC7,3,1.044269375496181
PC3-PC7,4,0.9004611427945445
PC3-PC7,5,0.9655621024549432
PC3-PC7,6,0.8395621601642268
PC3-PC7,7,0.8966537858290975
PC3-PC7,8,0.7762191330862946
PC3-PC7,9,0.801346241355064
PC3-PC7,10,0.816265286492851
PC3-PC8,3,1.0153838681586584
PC3-PC8,4,0.8766421504808859
PC3-PC8,5,0.8010939988618843
PC3-PC8,6,0.7604245324459642
PC3-PC8,7,0.8043305971525524
PC3-PC8,8,0.7661994139606891
PC3-PC8,9,0.764369697734099
PC3-PC8,10,0.7970762632267618
PC3-PC9,3,0.7776820145733788
PC3-PC9,4,0.845282108764102
PC3-PC9,5,0.7961945909360332
PC3-PC9,6,0.7869667681874585
PC3-PC9,7,0.8463539757147807
PC3-PC9,8,0.8087809209711259
PC3-PC9,9,0.8055735935402653
PC3-PC9,10,0.8401562572259783
PC3-PC10,3,1.0012305775597534
PC3-PC10,4,0.9701453432012946
PC3-PC10,5,0.8043785042668021
PC3-PC10,6,0.7925092864835235
PC3-PC10,7,0.7200773256972965
PC3-PC10,8,0.7221311613511472
PC3-PC10,9,0.7224759260490293
PC3-PC10,10,0.7353156271203711
PC4-PC5,3,0.955927587223031
PC4-PC5,4,0.8090589220279312
PC4-PC5,5,0.7100969707639737
PC4-PC5,6,0.7236410159484704
PC4-PC5,7,0.8117150126611036
PC4-PC5,8,0.8115670842188037
PC4-PC5,9,0.7750223945058493
PC4-PC5,10,0.7419050200334167
PC4-PC6,3,0.7304550631876762
PC4-PC6,4,0.8721074612807811
PC4-PC6,5,0.8459198236116615
PC4-PC6,6,0.7994678932802491
PC4-PC6,7,0.7706152139200112
PC4-PC6,8,0.763670799953891
PC4-PC6,9,0.7568473106311391
PC4-PC6,10,0.7994182855918543
PC4-PC7,3,0.9323678802335816
PC4-PC7,4,0.8770316058097858
PC4-PC7,5,0.8120400784567259
PC4-PC7,6,0.7228161199318909
PC4-PC7,7,0.8006981850311824
PC4-PC7,8,0.7210818653543727
PC4-PC7,9,0.7798159369393995
PC4-PC7,10,0.8043015357512662
PC4-PC8,3,0.9626037549398525
PC4-PC8,4,0.8390099792470113
PC4-PC8,5,0.7655038631593374
PC4-PC8,6,0.7674229140153698
PC4-PC8,7,0.790142748595325
PC4-PC8,8,0.7628257994742171
PC4-PC8,9,0.782127182708981
PC4-PC8,10,0.8078583552407768
PC4-PC9,3,0.8234044280346197
PC4-PC9,4,0.7589156177191053
PC4-PC9,5,0.807991030910509
PC4-PC9,6,0.8158424647637137
PC4-PC9,7,0.816853074907922
PC4-PC9,8,0.9222974045487846
PC4-PC9,9,0.8964283044420385
PC4-PC9,10,0.8443932964918522
